German,French,date_added
weit,loin,2026-02-21 12:00
mal,fois,2026-02-21 12:00
Feuer,Feu,2026-02-21 12:00
Wächter,Tuteur,2026-02-21 12:00
schlechter,pire,2026-02-21 12:00
sitzen,asseoir,2026-02-21 12:00
abschließen,conclure,2026-02-21 12:00
Erwachen,reveil,2026-02-21 12:00
Sonnenbrille,lunettes de soleil,2026-02-21 12:00
Helm,casque,2026-02-21 12:00
verrückt,fou,2026-02-21 12:00
vermissen,manquer,2026-02-21 12:00
Rückzahlung,rachat,2026-02-21 12:00
entweder,soit,2026-02-21 12:00
Start,lancement,2026-02-21 12:00
Wahnsinn,folie,2026-02-21 12:00
Sterne,etoiles,2026-02-21 12:00
gezwungen,contraint,2026-02-21 12:00
Vorsicht,prudence,2026-02-21 12:00
helfen,aider,2026-02-21 12:00
behindern,entraver,2026-02-21 12:00
Ereignis,evenement,2026-02-21 12:00
ohne Strom,privés d’électricité,2026-02-21 12:00
in Richtung,vers,2026-02-21 12:00
Ausrüstung,appareillage,2026-02-21 12:00
während,pendant,2026-02-21 12:00
deshalb,pour cette raison,2026-02-21 12:00
für ihn,pour lui,2026-02-21 12:00
Nach dem Spaziergang habe ich Kuchen gebacken,"Après la promenade, j'ai préparé un gâteau",2026-02-21 12:00
Dach,toit,2026-02-21 12:00
ich habe ihn aufgehalten,Je l'ai arrêté,2026-02-21 12:00
rechts,droite,2026-02-26 20:29
links,gauche,2026-02-26 20:29
hinter,derrière,2026-02-26 20:30
vor dem Haus,devant la maison,2026-02-26 20:30
vorgestern,avant-hier,2026-02-26 20:30
morgen,matin,2026-02-26 20:30
übermorgen,après-demain,2026-02-26 20:30
obwohl,bien que,2026-02-26 20:30
trotzdem,malgré ça,2026-02-26 20:30
offen,ouvert,2026-02-26 21:39
er scheint nett zu sein,il a l'air sympa,2026-02-26 21:49
genügen,suffire,2026-02-27 12:29
